Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Wisconsin,10,37,-13,Big 10,H,F,Rutgers,Big 10,14,Win,N,2,1.74,-31,222,Completed,66.667,0,28,,,,,,,,,,,,
2018,Army,10,39,-11,Independent,H,F,Air Force,MWC,3,Win,N,-1,-1.18,14,904,Completed,77.778,0,29,,,,,,,,,,,,
2018,UAB,10,35,-15,CUSA,A,F,UTSA,CUSA,49,Win,N,1,-5.93,-102,-534,Completed,88.889,0,30,,,,,,,,,,,,
2018,Northwestern,10,27,24,Big 10,H,U,Notre Dame,Independent,-10,Lose,N,-1,-2.66,-58,48,Completed,55.556,0,31,,,,,,,,,,,,
2018,Iowa  ,10,19,-31,Big 10,A,U,Purdue,Big 10,-2,Lose,N,-1,-1.19,15,490,Completed,66.667,0,32,,,,,,,,,,,,
2018,Boise State,10,45,-5,MWC,H,F,BYU,Independent,5,Win,N,-1,-1.25,23,298,Completed,77.778,0,33,,,,,,,,,,,,
2018,Purdue,10,50,31,Big 10,H,F,Iowa  ,Big 10,2,Win,N,1,1.19,-15,-490,Completed,55.556,0,34,,,,,,,,,,,,
2018,Buffalo,10,43,-7,MAC,H,F,"Miami, Ohio",MAC,9,Win,N,-1,0.86,-39,-44,Completed,88.889,0,35,,,,,,,,,,,,
2018,Oregon  ,10,36,-14,PAC 12,H,F,UCLA,PAC 12,21,Win,N,-3,0.86,-49,-90,Completed,66.67,0,36,,,,,,,,,,,,
2018,San Diego State,10,40,-10,MWC,A,F,New Mexico,MWC,8,Win,N,2,3.68,50,282,Completed,77.778,0,37,,,,,,,,,,,,
2018,Duke,10,46,-2,ACC,A,U,"Miami, FL",ACC,8,Win,N,-1,-1.38,-48,-252,Completed,66.667,0,38,,,,,,,,,,,,
2018,Houston,10,17,-33,AAC,A,F,SMU,AAC,-14,Lose,N,1,-0.83,31,-506,Completed,77.778,0,39,,,,,,,,,,,,
2018,Texas A&M,10,25,-13,SEC,A,U,Auburn,SEC,-4,Lose,N,2,-0.12,-8,1042,Completed,55.556,0,40,,,,,,,,,,,TO Margin -1,35.1
2018,Texas Tech,10,50,43,Big 12,H,U,Oklahoma,Big 12,-5,Lose,N,-2,-1.99,-44,-262,Completed,55.556,0,41,,,,,,,,,,,,
